empVarRate,precision,recall,f1-score,support
0.0,0.9918453639383872,0.898864102915013,0.9430684184076388,7307.0
1.0,0.9076019004751188,0.9926158895118282,0.948207171314741,7313.0
accuracy,0.9457592339261286,0.9457592339261286,0.9457592339261286,0.9457592339261286
macro avg,0.949723632206753,0.9457399962134205,0.9456377948611898,14620.0
weighted avg,0.9497063455863433,0.9457592339261286,0.9456388493248506,14620.0
consPriceIdk,precision,recall,f1-score,support
0.0,0.9920180722891566,0.9045591870365284,0.9462720873437724,7282.0
1.0,0.9129072681704261,0.9927773235213955,0.951168559864212,7338.0
accuracy,0.9488372093023256,0.9488372093023256,0.9488372093023256,0.9488372093023256
macro avg,0.9524626702297914,0.9486682552789619,0.9487203236039923,14620.0
weighted avg,0.9523111584298375,0.9488372093023256,0.9487297012531422,14620.0
