otherLabels,precision,recall,f1-score,support,feature
0,1,0.970929,0.98525,4575,empVarRatePos
1,0.971792,1,0.985694,4582,empVarRatePos
accuracy,0.985476,0.985476,0.985476,0.985476,empVarRatePos
macro avg,0.985896,0.985464,0.985472,9157,empVarRatePos
weighted avg,0.985885,0.985476,0.985472,9157,empVarRatePos
0,0.968928863,0.849158008,0.905098339,2791,empVarRateNeg
1,0.860457408,0.971556886,0.912638425,2672,empVarRateNeg
accuracy,0.909024346,0.909024346,0.909024346,0.909024346,empVarRateNeg
macro avg,0.914693136,0.910357447,0.908868382,5463,empVarRateNeg
weighted avg,0.915874547,0.909024346,0.908786259,5463,empVarRateNeg
0,0.99945593,0.948863636,0.973502915,3872,consPriceIdxGreater
1,0.948942754,0.999456817,0.973544974,3682,consPriceIdxGreater
accuracy,0.973523961,0.973523961,0.973523961,0.973523961,consPriceIdxGreater
macro avg,0.974199342,0.974160227,0.973523944,7554,consPriceIdxGreater
weighted avg,0.974834602,0.973523961,0.973523415,7554,consPriceIdxGreater
0,0.989930774,0.883211679,0.933531157,3562,consPriceIdxLess
1,0.893004115,0.99086758,0.939393939,3504,consPriceIdxLess
accuracy,0.936597792,0.936597792,0.936597792,0.936597792,consPriceIdxLess
macro avg,0.941467445,0.937039629,0.936462548,7066,consPriceIdxLess
weighted avg,0.941865247,0.936597792,0.936438487,7066,consPriceIdxLess
0,0.992175857,0.899662162,0.943656981,2960,consConfIdxGreater
1,0.905594406,0.992682927,0.947140957,2870,consConfIdxGreater
accuracy,0.945454545,0.945454545,0.945454545,0.945454545,consConfIdxGreater
macro avg,0.948885131,0.946172544,0.945398969,5830,consConfIdxGreater
weighted avg,0.949553427,0.945454545,0.945372077,5830,consConfIdxGreater
0,0.998292683,0.930227273,0.963058824,4400,consConfIdxLess
1,0.934541578,0.998405467,0.965418502,4390,consConfIdxLess
accuracy,0.964277588,0.964277588,0.964277588,0.964277588,consConfIdxLess
macro avg,0.96641713,0.96431637,0.964238663,8790,consConfIdxLess
weighted avg,0.966453394,0.964277588,0.964237321,8790,consConfIdxLess
0,0.997617984,0.913689665,0.953811117,7334,consConfIdxNeg
1,0.919903834,0.997804008,0.95727171,7286,consConfIdxNeg
accuracy,0.955608755,0.955608755,0.955608755,0.955608755,consConfIdxNeg
macro avg,0.958760909,0.955746836,0.955541413,14620,consConfIdxNeg
weighted avg,0.958888484,0.955608755,0.955535732,14620,consConfIdxNeg
0,1,0.96550417,0.982449373,5276,euribor3mGreater
1,0.966568699,1,0.983000187,5262,euribor3mGreater
accuracy,0.982729171,0.982729171,0.982729171,0.982729171,euribor3mGreater
macro avg,0.98328435,0.982752085,0.98272478,10538,euribor3mGreater
weighted avg,0.983306557,0.982729171,0.982724414,10538,euribor3mGreater
0,0.936250675,0.835583414,0.883057325,2074,euribor3mLess
1,0.847153743,0.94123506,0.891719745,2008,euribor3mLess
accuracy,0.88755512,0.88755512,0.88755512,0.88755512,euribor3mLess
macro avg,0.891702209,0.888409237,0.887388535,4082,euribor3mLess
weighted avg,0.892422493,0.88755512,0.887318506,4082,euribor3mLess
0,1,0.965930363,0.982669968,5342,nr.employedGreater
1,0.96617729,1,0.982797732,5199,nr.employedGreater
accuracy,0.982734086,0.982734086,0.982734086,0.982734086,nr.employedGreater
macro avg,0.983088645,0.982965182,0.98273385,10541,nr.employedGreater
weighted avg,0.983318066,0.982734086,0.982732983,10541,nr.employedGreater
0,0.936122103,0.827586207,0.878514589,2001,nr.employedLess
1,0.850649351,0.945620789,0.89562443,2078,nr.employedLess
accuracy,0.887717578,0.887717578,0.887717578,0.887717578,nr.employedLess
macro avg,0.893385727,0.886603498,0.88706951,4079,nr.employedLess
weighted avg,0.892578985,0.887717578,0.887231002,4079,nr.employedLess
