zipcode,population,num_households,median_income,mean_income
98001,"34,455","11,648","$88,962.00 ","$102,586.00 "
98002,"33,947","13,162","$59,097.00 ","$70,945.00 "
98003,"49,445","18,515","$59,560.00 ","$76,753.00 "
98004,"37,265","17,460","$142,173.00 ","$210,129.00 "
98005,"21,414","8,590","$135,225.00 ","$186,020.00 "
98006,"37,473","13,030","$156,382.00 ","$198,704.00 "
98007,"28,147","11,578","$101,847.00 ","$130,345.00 "
98008,"25,650","9,125","$131,952.00 ","$174,696.00 "
98010,"5,882","2,286","$125,652.00 ","$139,437.00 "
98011,"34,201","13,318","$103,421.00 ","$120,952.00 "
98014,"7,200","2,773","$118,808.00 ","$150,458.00 "
98019,"11,841","4,042","$142,064.00 ","$165,136.00 "
98022,"21,296","8,484","$90,223.00 ","$112,118.00 "
98023,"50,176","17,466","$82,566.00 ","$100,910.00 "
98024,"6,635","2,293","$158,168.00 ","$170,052.00 "
98027,"30,240","12,074","$121,620.00 ","$158,050.00 "
98028,"22,953","9,296","$115,093.00 ","$138,209.00 "
98029,"29,956","11,853","$134,424.00 ","$173,740.00 "
98030,"37,411","12,608","$71,014.00 ","$86,624.00 "
98031,"38,163","12,646","$82,241.00 ","$96,642.00 "
98032,"38,478","13,942","$62,620.00 ","$82,428.00 "
98033,"39,802","16,701","$137,378.00 ","$189,220.00 "
98034,"45,009","18,126","$100,955.00 ","$127,177.00 "
98038,"36,157","12,308","$114,804.00 ","$134,178.00 "
98039,"3,283","1,213","$185,163.00 ","$336,340.00 "
98040,"25,820","10,128","$150,506.00 ","$241,738.00 "
98042,"49,118","16,810","$105,166.00 ","$127,396.00 "
98045,"15,174","5,718","$111,767.00 ","$138,706.00 "
98047,"7,012","2,380","$64,942.00 ","$77,373.00 "
98050,523,173,"$142,316.00 ","$210,549.00 "
98051,"4,386","1,621","$94,453.00 ","$106,648.00 "
98052,"71,940","28,404","$136,208.00 ","$165,241.00 "
98053,"22,911","8,572","$151,525.00 ","$205,610.00 "
98055,"24,077","9,337","$80,586.00 ","$93,734.00 "
98056,"36,625","14,560","$95,074.00 ","$132,379.00 "
98057,"11,534","5,711","$57,598.00 ","$80,233.00 "
98058,"43,482","15,798","$92,216.00 ","$106,748.00 "
98059,"40,693","14,016","$109,565.00 ","$146,436.00 "
98065,"15,896","5,415","$150,015.00 ","$169,105.00 "
98068,497,251,"$97,607.00 ","$115,761.00 "
98070,"10,400","4,665","$78,368.00 ","$114,785.00 "
98072,"24,865","9,646","$127,724.00 ","$160,771.00 "
98074,"29,349","9,567","$196,146.00 ","$225,217.00 "
98075,"24,435","7,814","$188,500.00 ","$232,234.00 "
98077,"14,407","4,856","$160,441.00 ","$221,698.00 "
98092,"48,962","16,799","$96,121.00 ","$116,946.00 "
98101,"14,380","9,870","$91,550.00 ","$124,205.00 "
98102,"25,887","16,219","$97,374.00 ","$131,801.00 "
98103,"54,194","26,314","$105,480.00 ","$134,281.00 "
98104,"15,155","8,637","$58,018.00 ","$90,725.00 "
98105,"52,290","17,332","$67,449.00 ","$133,295.00 "
98106,"27,997","11,354","$74,608.00 ","$97,035.00 "
98107,"28,025","14,846","$102,436.00 ","$136,986.00 "
98108,"24,034","8,595","$62,530.00 ","$95,557.00 "
98109,"31,011","18,617","$107,330.00 ","$138,804.00 "
98112,"25,694","11,846","$122,388.00 ","$216,581.00 "
98115,"55,519","23,430","$117,038.00 ","$154,113.00 "
98116,"28,705","13,120","$121,967.00 ","$151,980.00 "
98117,"36,647","15,301","$131,508.00 ","$166,123.00 "
98118,"49,702","18,077","$85,541.00 ","$115,645.00 "
98119,"26,898","13,762","$93,014.00 ","$148,337.00 "
98121,"20,534","13,511","$118,270.00 ","$141,701.00 "
98122,"41,152","21,237","$81,308.00 ","$120,396.00 "
98125,"44,030","19,643","$78,263.00 ","$103,336.00 "
98126,"22,681","10,437","$84,934.00 ","$111,563.00 "
98133,"49,476","22,212","$73,702.00 ","$95,334.00 "
98134,779,215,"$71,607.00 ","$93,611.00 "
98136,"17,083","7,855","$123,042.00 ","$147,330.00 "
98144,"33,175","14,263","$87,098.00 ","$135,912.00 "
98146,"27,622","10,336","$80,633.00 ","$98,981.00 "
98148,"11,514","4,504","$70,050.00 ","$91,154.00 "
98155,"35,420","13,422","$107,109.00 ","$124,083.00 "
98164,200,126,"$240,573.00 ","$204,634.00 "
98166,"21,772","8,887","$87,882.00 ","$124,377.00 "
98168,"33,217","11,464","$66,237.00 ","$83,229.00 "
98177,"20,422","8,178","$125,036.00 ","$162,366.00 "
98178,"26,507","9,760","$84,820.00 ","$111,015.00 "
98354,"7,551","2,902","$76,582.00 ","$91,661.00 "
98188,"25,292","10,018","$64,206.00 ","$85,131.00 "
98195,51,0,$0.00 ,$0.00 
98198,"38,699","14,423","$66,938.00 ","$90,330.00 "
98199,"23,444","10,296","$134,709.00 ","$172,243.00 "
98224,243,132,"$46,250.00 ","$59,451.00 "
98288,225,100,"$50,625.00 ","$82,660.00 "
